;[day of year];[day of year];[day of year];[kg N/ha];[kg N/ha];[kg N/ha];[day of year];[day of year];[day of year];[kg N/ha];[kg N/ha];[kg N/ha]
lu_id;DOY_Nmin1;DOY_Nmin2;DOY_Nmin3;Nmin1;Nmin2;Nmin3;DOY_Norg1;DOY_Norg2;DOY_Norg3;Norg1;Norg2;Norg3
501;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
502;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
503;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
504;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
505;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
506;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
507;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
508;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
509;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
510;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
511;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
512;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
513;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
514;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
515;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
516;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
517;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
518;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
519;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
520;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
521;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
522;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
523;100;135;-9999;90;50;0;-9999;-9999;-9999;0;0;0
524;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
525;152;-9999;-9999;55;0;0;114;-9999;-9999;55;0;0
526;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
527;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
528;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
529;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
530;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
531;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
532;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
533;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
534;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
535;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
536;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
537;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
538;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
539;152;-9999;-9999;110;0;0;114;-9999;-9999;50;0;0
540;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
541;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
542;80;126;-9999;38;20;0;-9999;-9999;-9999;0;0;0
543;80;126;-9999;38;20;0;-9999;-9999;-9999;0;0;0
544;80;126;-9999;38;20;0;-9999;-9999;-9999;0;0;0
545;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
546;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
547;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
548;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
549;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
550;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
551;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
552;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
553;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
554;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
555;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
556;60;91;-9999;50;50;0;-9999;-9999;-9999;0;0;0
557;60;105;-999;70;65;0;-9999;-9999;-9999;0;0;0
558;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
559;60;91;-9999;80;71;0;-9999;-9999;-9999;0;0;0
560;60;105;-9999;50;50;0;-9999;-9999;-9999;0;0;0
561;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
562;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
563;87;135;-9999;80;37;0;-9999;-9999;-9999;0;0;0
564;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
565;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
566;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
567;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
568;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
569;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
570;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
571;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
572;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
573;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
574;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
575;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
576;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
577;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
578;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
579;60;105;-9999;50;50;0;-9999;-9999;-9999;0;0;0
580;-9999;-9999;-9999;0;0;0;61;137;-9999;60;41;0
581;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
582;-9999;-9999;-9999;0;0;0;61;137;-9999;60;41;0
583;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
584;-9999;-9999;-9999;0;0;0;61;137;-9999;60;41;0
585;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
586;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
587;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0
599;-9999;-9999;-9999;0;0;0;-9999;-9999;-9999;0;0;0