[MP/m2];[%]
macropore_density;drain_area
0;0
1;1
2;2
3;4
4;5
5;6
6;7
7;8
8;9
9;10
10;12
11;13
12;14
13;15
14;16
15;17
16;19
17;20
18;21
19;22
20;23
21;24
22;25
23;26
24;27
25;28
26;29
27;30
28;31
29;32
30;33
31;34
32;35
33;36
34;37
35;38
36;39
37;40
38;41
39;41
40;42
41;43
42;44
43;44
44;45
45;45
46;46
47;46
48;47
49;47
50;48
51;48
52;49
53;49
54;50
55;50
56;51
57;51
58;52
59;52
60;53
61;53
62;54
63;54
64;55
65;55
66;56
67;56
68;57
69;57
70;58
71;58
72;59
73;59
74;60
75;60
76;61
77;61
78;62
79;62
80;62
81;63
82;63
83;64
84;64
85;65
86;65
87;66
88;66
89;67
90;67
91;67
92;68
93;68
94;69
95;69
96;70
97;70
98;71
99;71
100;71
101;72
102;72
103;72
104;72
105;73
106;73
107;73
108;73
109;73
110;74
111;74
112;74
113;74
114;75
115;75
116;75
117;75
118;75
119;76
120;76
121;76
122;76
123;77
124;77
125;77
126;77
127;77
128;78
129;78
130;78
131;78
132;78
133;79
134;79
135;79
136;79
137;80
138;80
139;80
140;80
141;80
142;81
143;81
144;81
145;81
146;82
147;82
148;82
149;82
150;82
151;83
152;83
153;83
154;83
155;83
156;83
157;84
158;84
159;84
160;84
161;84
162;84
163;85
164;85
165;85
166;85
167;85
168;85
169;86
170;86
171;86
172;86
173;86
174;86
175;87
176;87
177;87
178;87
179;87
180;87
181;88
182;88
183;88
184;88
185;88
186;88
187;89
188;89
189;89
190;89
191;89
192;89
193;90
194;90
195;90
196;90
197;90
198;90
199;91
200;91
201;91
202;91
203;91
204;91
205;91
206;91
207;91
208;91
209;91
210;91
211;91
212;91
213;91
214;91
215;91
216;91
217;91
218;91
219;91
220;91
221;91
222;91
223;91
224;91
225;91
226;91
227;91
228;91
229;92
230;92
231;92
232;92
233;92
234;92
235;92
236;92
237;92
238;92
239;92
240;92
241;92
242;92
243;92
244;92
245;92
246;92
247;92
248;92
249;92
250;92
251;92
252;92
253;92
254;92
255;92
256;92
257;93
258;93
259;93
260;93
261;93
262;93
263;93
264;93
265;93
266;93
267;93
268;93
269;93
270;93
271;94
272;94
273;94
274;94
275;94
276;94
277;94
278;94
279;94
280;94
281;94
282;94
283;94
284;94
285;94
286;95
287;95
288;95
289;95
290;95
291;95
292;95
293;95
294;95
295;95
296;95
297;95
298;95
299;95
300;96
301;96
302;96
303;96
304;96
305;96
306;96
307;96
308;96
309;96
310;96
311;96
312;96
313;96
314;96
315;96
316;96
317;96
318;96
319;96
320;96
321;96
322;96
323;96
324;96
325;96
326;96
327;96
328;96
329;96
330;96
331;96
332;96
333;96
334;96
335;96
336;96
337;96
338;96
339;96
340;96
341;96
342;96
343;96
344;96
345;96
346;96
347;96
348;96
349;96
350;96
351;96
352;96
353;96
354;96
355;96
356;96
357;96
358;96
359;96
360;96
361;96
362;96
363;96
364;96
365;96
366;96
367;96
368;96
369;96
370;96
371;96
372;96
373;96
374;96
375;96
376;96
377;96
378;96
379;96
380;96
381;96
382;96
383;96
384;96
385;96
386;96
387;96
388;96
389;96
390;96
391;96
392;96
393;96
394;96
395;96
396;96
397;96
398;96
399;96