;[kg N/year/ha];[kg N/day/ha];
lu_id;Nup;Nup_eff;growing_days
501;0;0;0
502;0;0;0
503;0;0;0
504;0;0;0
505;0;0;0
506;0;0;0
507;0;0;0
508;0;0;0
509;0;0;0
510;0;0;0
511;0;0;0
512;0;0;0
513;0;0;0
514;0;0;0
515;0;0;0
516;0;0;0
517;0;0;0
518;0;0;0
519;0;0;0
520;0;0;0
521;0;0;0
522;0;0;0
523;195;1.413043478;138
524;0;0;0
525;295;2.006802721;147
526;0;0;0
527;0;0;0
528;0;0;0
529;0;0;0
530;0;0;0
531;0;0;0
532;0;0;0
533;0;0;0
534;0;0;0
535;0;0;0
536;0;0;0
537;0;0;0
538;0;0;0
539;290;2.37704918;122
540;0;0;0
541;0;0;0
542;175;1.5625;112
543;225;1.630434783;138
544;175;1.411290323;124
545;0;0;0
546;0;0;0
547;0;0;0
548;0;0;0
549;0;0;0
550;0;0;0
551;0;0;0
552;0;0;0
553;0;0;0
554;0;0;0
555;0;0;0
556;180;0.671641791;268
557;220;0.820895522;268
558;0;0;0
559;225;0.694444444;324
560;200;0.709219858;282
561;0;0;0
562;0;0;0
563;395;2.351190476;168
564;0;0;0
565;0;0;0
566;0;0;0
567;0;0;0
568;0;0;0
569;0;0;0
570;0;0;0
571;0;0;0
572;0;0;0
573;0;0;0
574;0;0;0
575;0;0;0
576;0;0;0
577;0;0;0
578;0;0;0
579;165;0.615671642;268
580;0;0;0
581;0;0;0
582;0;0;0
583;0;0;0
584;0;0;0
585;0;0;0
586;0;0;0
587;0;0;0
588;0;0;0
599;0;0;0